ECG,X,Y,Z,Timestamp
34,0.20,-9.30,-1.37,2024-01-20 15:13:01.966
31,0.24,-9.38,-1.33,2024-01-20 15:13:02.000
33,0.20,-9.30,-1.45,2024-01-20 15:13:02.066
0,0.27,-9.38,-1.33,2024-01-20 15:13:02.099
0,0.20,-9.30,-1.33,2024-01-20 15:13:02.133
0,0.24,-9.38,-1.33,2024-01-20 15:13:02.166
67,0.20,-9.34,-1.41,2024-01-20 15:13:02.233
121,0.24,-9.34,-1.37,2024-01-20 15:13:02.266
178,0.27,-9.34,-1.33,2024-01-20 15:13:02.299
98,0.24,-9.34,-1.37,2024-01-20 15:13:02.366
68,0.27,-9.38,-1.37,2024-01-20 15:13:02.399
89,0.24,-9.30,-1.37,2024-01-20 15:13:02.433
167,0.20,-9.34,-1.33,2024-01-20 15:13:02.498
179,0.27,-9.34,-1.29,2024-01-20 15:13:02.532
232,0.24,-9.38,-1.37,2024-01-20 15:13:02.565
209,0.24,-9.30,-1.37,2024-01-20 15:13:02.598
266,0.20,-9.30,-1.33,2024-01-20 15:13:02.665
368,0.20,-9.26,-1.37,2024-01-20 15:13:02.698
603,0.24,-9.34,-1.41,2024-01-20 15:13:02.732
287,0.24,-9.34,-1.45,2024-01-20 15:13:02.799
608,0.20,-9.34,-1.33,2024-01-20 15:13:02.831
624,0.24,-9.34,-1.41,2024-01-20 15:13:02.865
654,0.24,-9.30,-1.33,2024-01-20 15:13:02.931
631,0.24,-9.34,-1.37,2024-01-20 15:13:02.964
580,0.20,-9.30,-1.37,2024-01-20 15:13:02.998
546,0.24,-9.34,-1.37,2024-01-20 15:13:03.064
519,0.20,-9.34,-1.41,2024-01-20 15:13:03.098
315,0.24,-9.38,-1.29,2024-01-20 15:13:03.131
198,0.20,-9.30,-1.37,2024-01-20 15:13:03.197
162,0.24,-9.34,-1.33,2024-01-20 15:13:03.230
162,0.24,-9.38,-1.37,2024-01-20 15:13:03.264
131,0.20,-9.34,-1.37,2024-01-20 15:13:03.297
76,0.27,-9.34,-1.41,2024-01-20 15:13:03.364
82,0.24,-9.30,-1.41,2024-01-20 15:13:03.397
110,0.24,-9.34,-1.37,2024-01-20 15:13:03.431
136,0.20,-9.30,-1.45,2024-01-20 15:13:03.497
210,0.27,-9.34,-1.33,2024-01-20 15:13:03.531
148,0.20,-9.38,-1.37,2024-01-20 15:13:03.563
105,0.27,-9.34,-1.41,2024-01-20 15:13:03.630
139,0.24,-9.34,-1.37,2024-01-20 15:13:03.663
411,0.16,-9.34,-1.37,2024-01-20 15:13:03.698
0,0.24,-9.38,-1.37,2024-01-20 15:13:03.730
179,0.20,-9.34,-1.29,2024-01-20 15:13:03.796
236,0.31,-9.34,-1.37,2024-01-20 15:13:03.830
260,0.27,-9.34,-1.37,2024-01-20 15:13:03.863
290,0.24,-9.38,-1.41,2024-01-20 15:13:03.929
272,0.27,-9.38,-1.37,2024-01-20 15:13:03.963
276,0.24,-9.34,-1.37,2024-01-20 15:13:03.996
235,0.24,-9.30,-1.37,2024-01-20 15:13:04.062
194,0.27,-9.34,-1.37,2024-01-20 15:13:04.096
292,0.24,-9.34,-1.37,2024-01-20 15:13:04.129
275,0.27,-9.34,-1.33,2024-01-20 15:13:04.196
316,0.27,-9.57,-1.45,2024-01-20 15:13:04.228
330,0.24,-9.22,-1.33,2024-01-20 15:13:04.263
354,0.27,-9.26,-1.41,2024-01-20 15:13:04.329
368,0.27,-9.38,-1.45,2024-01-20 15:13:04.362
341,0.27,-9.38,-1.29,2024-01-20 15:13:04.396
426,0.20,-9.34,-1.37,2024-01-20 15:13:04.429
396,0.24,-9.30,-1.45,2024-01-20 15:13:04.495
472,0.31,-9.30,-1.33,2024-01-20 15:13:04.528
263,0.27,-9.38,-1.29,2024-01-20 15:13:04.562
373,0.24,-9.34,-1.37,2024-01-20 15:13:04.628
384,0.20,-9.34,-1.41,2024-01-20 15:13:04.662
453,0.31,-9.41,-1.33,2024-01-20 15:13:04.695
478,0.20,-9.30,-1.41,2024-01-20 15:13:04.762
509,0.27,-9.38,-1.37,2024-01-20 15:13:04.795
350,0.24,-9.41,-1.41,2024-01-20 15:13:04.828
290,0.20,-9.34,-1.33,2024-01-20 15:13:04.894
281,0.16,-9.30,-1.29,2024-01-20 15:13:04.928
358,0.24,-9.30,-1.29,2024-01-20 15:13:04.961
313,0.24,-9.38,-1.41,2024-01-20 15:13:05.028
235,0.20,-9.30,-1.41,2024-01-20 15:13:05.061
229,0.24,-9.38,-1.33,2024-01-20 15:13:05.095
252,0.24,-9.34,-1.33,2024-01-20 15:13:05.128
289,0.24,-9.38,-1.33,2024-01-20 15:13:05.194
330,0.27,-9.41,-1.33,2024-01-20 15:13:05.227
273,0.27,-9.38,-1.33,2024-01-20 15:13:05.260
243,0.24,-9.34,-1.37,2024-01-20 15:13:05.327
265,0.27,-9.34,-1.33,2024-01-20 15:13:05.361
661,0.24,-9.30,-1.37,2024-01-20 15:13:05.394
292,0.20,-9.26,-1.33,2024-01-20 15:13:05.460
277,0.24,-9.34,-1.33,2024-01-20 15:13:05.493
276,0.20,-9.30,-1.33,2024-01-20 15:13:05.527
310,0.24,-9.38,-1.37,2024-01-20 15:13:05.593
333,0.24,-9.38,-1.37,2024-01-20 15:13:05.627
354,0.24,-9.34,-1.29,2024-01-20 15:13:05.660
342,0.20,-9.38,-1.41,2024-01-20 15:13:05.726
291,0.20,-9.30,-1.37,2024-01-20 15:13:05.760
296,0.24,-9.38,-1.33,2024-01-20 15:13:05.793
335,0.24,-9.34,-1.33,2024-01-20 15:13:05.826
349,0.24,-9.34,-1.33,2024-01-20 15:13:05.892
345,0.20,-9.30,-1.37,2024-01-20 15:13:05.926
315,0.24,-9.38,-1.37,2024-01-20 15:13:05.959
305,0.24,-9.30,-1.33,2024-01-20 15:13:06.026
319,0.24,-9.34,-1.33,2024-01-20 15:13:06.059
347,0.20,-9.30,-1.37,2024-01-20 15:13:06.092
381,0.24,-9.38,-1.33,2024-01-20 15:13:06.159
658,0.20,-9.34,-1.37,2024-01-20 15:13:06.192
192,0.20,-9.34,-1.37,2024-01-20 15:13:06.225
386,0.24,-9.38,-1.37,2024-01-20 15:13:06.292
409,0.24,-9.34,-1.37,2024-01-20 15:13:06.325
441,0.20,-9.30,-1.37,2024-01-20 15:13:06.358
429,0.24,-9.34,-1.33,2024-01-20 15:13:06.424
368,0.20,-9.34,-1.37,2024-01-20 15:13:06.458
287,0.24,-9.30,-1.37,2024-01-20 15:13:06.492
273,0.24,-9.34,-1.37,2024-01-20 15:13:06.526
298,0.27,-9.34,-1.41,2024-01-20 15:13:06.591
335,0.24,-9.34,-1.37,2024-01-20 15:13:06.624
314,0.24,-9.38,-1.41,2024-01-20 15:13:06.658
279,0.27,-9.34,-1.41,2024-01-20 15:13:06.725
291,0.24,-9.38,-1.33,2024-01-20 15:13:06.758
344,0.24,-9.34,-1.41,2024-01-20 15:13:06.791
352,0.20,-9.38,-1.33,2024-01-20 15:13:06.857
311,0.24,-9.34,-1.33,2024-01-20 15:13:06.891
247,0.20,-9.34,-1.33,2024-01-20 15:13:06.924
661,0.24,-9.30,-1.37,2024-01-20 15:13:06.991
167,0.24,-9.34,-1.37,2024-01-20 15:13:07.023
284,0.20,-9.34,-1.29,2024-01-20 15:13:07.057
391,0.24,-9.38,-1.18,2024-01-20 15:13:07.124
294,0.24,-9.38,-1.29,2024-01-20 15:13:07.157
327,0.20,-9.38,-1.29,2024-01-20 15:13:07.190
369,0.35,-9.22,-1.65,2024-01-20 15:13:07.224
372,0.31,-9.34,-1.57,2024-01-20 15:13:07.290
427,0.12,-9.38,-1.22,2024-01-20 15:13:07.323
372,0.16,-9.34,-1.29,2024-01-20 15:13:07.356
427,0.31,-9.34,-1.45,2024-01-20 15:13:07.423
357,0.24,-9.34,-1.41,2024-01-20 15:13:07.456
239,0.16,-9.34,-1.29,2024-01-20 15:13:07.490
408,0.24,-9.34,-1.45,2024-01-20 15:13:07.556
373,0.24,-9.30,-1.45,2024-01-20 15:13:07.589
310,0.16,-9.34,-1.33,2024-01-20 15:13:07.623
313,0.24,-9.41,-1.33,2024-01-20 15:13:07.689
322,0.35,-9.41,-1.33,2024-01-20 15:13:07.723
661,0.08,-9.34,-1.49,2024-01-20 15:13:07.756
386,0.35,-9.30,-1.41,2024-01-20 15:13:07.822
391,0.27,-9.34,-1.33,2024-01-20 15:13:07.855
304,0.12,-9.30,-1.33,2024-01-20 15:13:07.890
288,0.39,-9.34,-1.37,2024-01-20 15:13:07.923
300,0.16,-9.34,-1.33,2024-01-20 15:13:07.988
324,0.08,-9.30,-1.41,2024-01-20 15:13:08.022
409,0.39,-9.38,-1.37,2024-01-20 15:13:08.055
392,0.16,-9.38,-1.33,2024-01-20 15:13:08.122
359,0.35,-9.38,-1.33,2024-01-20 15:13:08.155
261,0.20,-9.30,-1.37,2024-01-20 15:13:08.189
274,0.16,-9.34,-1.53,2024-01-20 15:13:08.255
364,0.27,-9.30,-1.37,2024-01-20 15:13:08.288
389,0.24,-9.30,-1.45,2024-01-20 15:13:08.322
372,0.20,-9.38,-1.41,2024-01-20 15:13:08.388
267,0.24,-9.38,-1.29,2024-01-20 15:13:08.421
348,0.16,-9.34,-1.33,2024-01-20 15:13:08.455
435,0.24,-9.34,-1.33,2024-01-20 15:13:08.521
662,0.31,-9.34,-1.37,2024-01-20 15:13:08.554
136,0.24,-9.34,-1.22,2024-01-20 15:13:08.588
242,0.16,-9.38,-1.37,2024-01-20 15:13:08.621
305,0.24,-9.34,-1.41,2024-01-20 15:13:08.688
303,0.20,-9.34,-1.33,2024-01-20 15:13:08.721
386,0.16,-9.30,-1.33,2024-01-20 15:13:08.754
273,0.24,-9.30,-1.33,2024-01-20 15:13:08.821
244,0.31,-9.30,-1.45,2024-01-20 15:13:08.854
216,0.27,-9.38,-1.41,2024-01-20 15:13:08.887
194,0.16,-9.30,-1.29,2024-01-20 15:13:08.954
360,0.12,-9.38,-1.14,2024-01-20 15:13:08.987
424,0.20,-9.30,-1.37,2024-01-20 15:13:09.020
316,0.35,-9.30,-1.53,2024-01-20 15:13:09.087
335,0.20,-9.30,-1.45,2024-01-20 15:13:09.120
307,0.24,-9.38,-1.29,2024-01-20 15:13:09.154
295,0.27,-9.34,-1.37,2024-01-20 15:13:09.220
369,0.20,-9.34,-1.33,2024-01-20 15:13:09.253
640,0.24,-9.34,-1.29,2024-01-20 15:13:09.286
127,0.31,-9.34,-1.41,2024-01-20 15:13:09.321
321,0.20,-9.34,-1.37,2024-01-20 15:13:09.385
338,0.24,-9.30,-1.41,2024-01-20 15:13:09.420
399,0.27,-9.30,-1.33,2024-01-20 15:13:09.452
411,0.24,-9.34,-1.33,2024-01-20 15:13:09.519
337,0.24,-9.41,-1.37,2024-01-20 15:13:09.552
328,0.20,-9.38,-1.37,2024-01-20 15:13:09.586
303,0.24,-9.38,-1.41,2024-01-20 15:13:09.653
336,0.27,-9.34,-1.37,2024-01-20 15:13:09.686
390,0.24,-9.34,-1.37,2024-01-20 15:13:09.719
357,0.24,-9.38,-1.33,2024-01-20 15:13:09.785
312,0.24,-9.38,-1.33,2024-01-20 15:13:09.819
300,0.24,-9.30,-1.33,2024-01-20 15:13:09.852
324,0.27,-9.38,-1.29,2024-01-20 15:13:09.918
358,0.27,-9.34,-1.41,2024-01-20 15:13:09.952
354,0.20,-9.38,-1.37,2024-01-20 15:13:09.985
304,0.27,-9.30,-1.33,2024-01-20 15:13:10.018
520,0.20,-9.38,-1.41,2024-01-20 15:13:10.085
99,0.27,-9.30,-1.33,2024-01-20 15:13:10.118
339,0.16,-9.34,-1.41,2024-01-20 15:13:10.152
375,0.24,-9.30,-1.41,2024-01-20 15:13:10.218
